ProductID,Name,ProductNumber,Color,StandardCost,ListPrice,Size,Weight,ProductCategoryID,ProductModelID,SellStartDate,SellEndDate,DiscontinuedDate,ThumbNailPhoto,ThumbnailPhotoFileName,rowguid,ModifiedDate
1191,New Product 1191 - Handlebars,NP-M227,Blue,201.63,336.05,,3.97,8,45,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,96B27F1F-0D35-4578-AABD-64E3C5173A66,2025-11-30 00:00:00.000
1192,New Product 1192 - Hydration Packs,NP-F884,Red,296.9535,494.92,,,36,22,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,7D4BEB43-7EF2-4FB7-A9D6-781672FC6299,2025-11-30 00:00:00.000
1193,New Product 1193 - Mountain Frames,NP-R198,,286.9726,478.29,,4.35,16,69,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,A9EA3557-5D6E-4E12-9B41-03E52B8E85EB,2025-11-30 00:00:00.000
1194,New Product 1194 - Touring Bikes,NP-A597,Silver,482.6198,804.37,40,9.14,7,123,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,5E9CD3A1-394F-4F03-9567-3644846636CB,2025-11-30 00:00:00.000
1195,New Product 1195 - Tires and Tubes,NP-H314,Grey,120.4374,200.73,,,41,104,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,E16ED389-C49B-42F3-B8CB-7730F06F08B7,2025-11-30 00:00:00.000
1196,New Product 1196 - Road Frames,NP-E655,Grey,234.6448,391.07,,3.72,18,115,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,3151586B-5883-4922-AD9E-4A7698D12D2F,2025-11-30 00:00:00.000
1197,New Product 1197 - Panniers,NP-B819,White,296.3397,493.9,,,39,103,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,A8682B7E-0CA9-4F3D-AFEC-FCEDE3EE8B24,2025-11-30 00:00:00.000
1198,New Product 1198 - Bib-Shorts,NP-U536,Blue,68.0548,113.42,L,,22,59,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,7B53DFFD-4B8C-43BD-ADDC-9C47CBADEC00,2025-11-30 00:00:00.000
1199,New Product 1199 - Derailleurs,NP-N410,Yellow,209.4949,349.16,,1.73,13,88,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,B8A3A088-0C47-493C-AD80-68F2F1168485,2025-11-30 00:00:00.000
1200,New Product 1200 - Forks,NP-O192,White,109.88,183.13,,7.28,14,107,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,1AEF078D-2CFB-4DF1-AFA0-5ED983C891D7,2025-11-30 00:00:00.000
1201,New Product 1201 - Jerseys,NP-Z430,Yellow,282.125,470.21,60,,25,101,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,49FE6769-ECEA-43DE-9552-FEC4EB35E25B,2025-11-30 00:00:00.000
1202,New Product 1202 - Touring Frames,NP-Q555,White,63.9613,106.6,,4.31,20,43,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,0329319F-B38F-4911-90DA-0996A1F9C739,2025-11-30 00:00:00.000
1203,New Product 1203 - Fenders,NP-G599,Yellow,78.0851,130.14,,,34,33,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,9F5FE18D-54C3-42A8-95C9-6FB22EF5DB1B,2025-11-30 00:00:00.000
1204,New Product 1204 - Mountain Bikes,NP-P868,,840.202,1400.34,54,6.61,5,63,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,D6D72417-C360-44FD-967C-964B048C1A42,2025-11-30 00:00:00.000
1205,New Product 1205 - Tires and Tubes,NP-Y934,Multi,230.8402,384.73,,,41,119,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,BDA9BAC6-F159-47DF-BE0B-A7197C11F742,2025-11-30 00:00:00.000
1206,New Product 1206 - Road Frames,NP-G801,Grey,117.7288,196.21,,2.79,18,70,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,4F8EC976-102F-414C-9FC4-3914C308D0FE,2025-11-30 00:00:00.000
1207,New Product 1207 - Panniers,NP-K374,,94.5475,157.58,,,39,93,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,DD48D851-48A9-45C7-9A2E-4EB968ADE3DF,2025-11-30 00:00:00.000
1208,New Product 1208 - Tights,NP-Z191,Grey,276.3356,460.56,L,,28,70,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,CB9E054A-F19D-4878-848B-14FCD471942E,2025-11-30 00:00:00.000
1209,New Product 1209 - Road Bikes,NP-B178,Red,698.0363,1163.39,54,3.06,6,130,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,EBC0D1DF-491D-4FA9-960B-4052C0B6B165,2025-11-30 00:00:00.000
1210,New Product 1210 - Derailleurs,NP-E744,Black,82.8934,138.16,,6.65,13,90,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,B957E28F-DCAB-4F54-B23E-2587B782219C,2025-11-30 00:00:00.000
1211,New Product 1211 - Caps,NP-O763,Multi,124.8503,208.08,46,,23,62,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,3B7EA306-4904-4D49-96EE-64075BF0BBB4,2025-11-30 00:00:00.000
1212,New Product 1212 - Touring Bikes,NP-D673,Multi,846.5972,1411.0,56,9.17,7,125,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,EFEAFB93-00F1-4980-B289-36E8D49FF460,2025-11-30 00:00:00.000
1213,New Product 1213 - Hydration Packs,NP-L940,Yellow,204.6794,341.13,,,36,119,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,996144CB-6A4B-46D6-9D93-D832B7C90777,2025-11-30 00:00:00.000
1214,New Product 1214 - Hydration Packs,NP-Q682,Silver,112.1662,186.94,,,36,87,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,218CC996-785B-465C-B9E3-4610DCB084F2,2025-11-30 00:00:00.000
1215,New Product 1215 - Helmets,NP-I980,Blue,171.525,285.87,,,35,48,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,D574F718-51E7-4819-892E-526463CC67FB,2025-11-30 00:00:00.000
1216,New Product 1216 - Saddles,NP-G468,Grey,224.4293,374.05,,2.4,19,84,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,8453DE02-F76D-4D01-B935-EE7D3817E61B,2025-11-30 00:00:00.000
1217,New Product 1217 - Mountain Bikes,NP-G722,Yellow,961.4116,1602.35,56,2.74,5,27,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,8D1150D4-7A6D-49FE-BC09-F51997ED0345,2025-11-30 00:00:00.000
1218,New Product 1218 - Brakes,NP-T627,Blue,247.4209,412.37,,3.46,10,117,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,7E23B0AF-5A66-4130-8B7C-51F3E89CB611,2025-11-30 00:00:00.000
1219,New Product 1219 - Pedals,NP-B303,Red,245.4189,409.03,,6.31,17,55,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,CAFC4E59-9C0C-4B3E-96C7-AD2F3FF5FFE1,2025-11-30 00:00:00.000
1220,New Product 1220 - Cleaners,NP-X657,Red,159.9004,266.5,,,33,34,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,9D28F6DC-4459-43F5-91F6-38CC89F70D7E,2025-11-30 00:00:00.000
1221,New Product 1221 - Saddles,NP-M208,Black,219.6612,366.1,,2.81,19,102,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,BDBB611F-4FD8-4407-B838-C47BEC2D5EA9,2025-11-30 00:00:00.000
1222,New Product 1222 - Wheels,NP-M903,Blue,257.5972,429.33,,2.82,21,109,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,AED45FE8-4AC7-4860-AEEA-D919D3D1B81E,2025-11-30 00:00:00.000
1223,New Product 1223 - Bib-Shorts,NP-B768,Multi,69.236,115.39,,,22,96,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,FCF7134A-4892-4FB3-9A38-1115E806D694,2025-11-30 00:00:00.000
1224,New Product 1224 - Mountain Bikes,NP-Q395,Multi,891.8358,1486.39,46,1.69,5,17,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,9959C505-E784-4A62-BAA3-510FBAFF2818,2025-11-30 00:00:00.000
1225,New Product 1225 - Cranksets,NP-Q353,Black,177.0442,295.07,,5.71,12,62,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,51371A41-0B32-4291-BFFB-BE256F5A6A62,2025-11-30 00:00:00.000
1226,New Product 1226 - Touring Frames,NP-P980,Multi,206.8605,344.77,,4.81,20,43,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,A97D3752-4821-4793-979C-39B3AE88D7A0,2025-11-30 00:00:00.000
1227,New Product 1227 - Road Frames,NP-M527,Silver,216.5917,360.99,,9.79,18,124,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,C266E906-9538-4A72-B276-0F4BF7FE45B0,2025-11-30 00:00:00.000
1228,New Product 1228 - Helmets,NP-J916,Red,233.3863,388.98,,,35,62,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,510FF2D2-4698-4AB4-A6F0-B72F38772D87,2025-11-30 00:00:00.000
1229,New Product 1229 - Locks,NP-G892,Blue,278.5254,464.21,,,38,83,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,FA15BC78-48D9-46FA-B469-C5920A30AA8A,2025-11-30 00:00:00.000
1230,New Product 1230 - Tires and Tubes,NP-C749,Grey,213.2924,355.49,,,41,95,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,FECA28B7-0309-48A5-B6A3-55796CC0A25F,2025-11-30 00:00:00.000
1231,New Product 1231 - Bottom Brackets,NP-I164,Yellow,250.8399,418.07,,2.83,9,13,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,2317F028-82FD-44BA-ADED-9F6AD7E792EC,2025-11-30 00:00:00.000
1232,New Product 1232 - Pumps,NP-S901,Black,201.9021,336.5,,,40,83,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,6D964FA4-3FA3-47EA-826F-0269C92860D8,2025-11-30 00:00:00.000
1233,New Product 1233 - Headsets,NP-D772,,107.4585,179.1,,4.73,15,50,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,1A0C191E-45F1-4AE5-862C-CD3BD42FAB07,2025-11-30 00:00:00.000
1234,New Product 1234 - Forks,NP-I589,,178.5127,297.52,,6.09,14,116,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,1D044D40-0C00-4D04-BC56-1F7D0A8DF435,2025-11-30 00:00:00.000
1235,New Product 1235 - Helmets,NP-Y626,Red,122.825,204.71,,,35,47,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,1E61E1F4-F1DD-433C-91F3-29F8789A7B01,2025-11-30 00:00:00.000
1236,New Product 1236 - Locks,NP-X723,Grey,52.996,88.33,,,38,80,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,88F2765F-80B8-4317-A1CF-92CA26A7D79A,2025-11-30 00:00:00.000
1237,New Product 1237 - Bottles and Cages,NP-F483,White,129.8274,216.38,,,32,96,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,70FEE282-E74C-4C2A-9A0A-156B206D67C4,2025-11-30 00:00:00.000
1238,New Product 1238 - Handlebars,NP-E270,Blue,260.7607,434.6,,3.86,8,109,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,74A4F15C-A499-4D61-B127-B4EC4DC787CC,2025-11-30 00:00:00.000
1239,New Product 1239 - Saddles,NP-L908,White,188.4535,314.09,,7.43,19,57,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,F8D96048-0798-47DC-BE2D-17A43CAE2CAB,2025-11-30 00:00:00.000
1240,New Product 1240 - Cleaners,NP-S943,Red,193.1592,321.93,,,33,29,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,7AAB0DBD-BA3E-49FB-BF7B-453A865FADFB,2025-11-30 00:00:00.000
