product_id,product_name,subcategory_code,brand,unit_cost,list_price,weight_kg,status
PROD000038,Generic Hospital 862,FITN,Generic,208.21,576.34,17.85,Active
PROD000040,ChefTools Zmarły 234,KITC,ChefTools,9.58,25.57,8.77,Discontinued
PROD000040,SmartDevice Temat 257,PHON,SmartDevice,32.09,77.36,13.39,Discontinued
PROD000042,Generic Owoc 998,CAMP,Generic,43.29,77.26,13.89,Active
PROD000043,Generic Bić 863,BOOK,Generic,383.9,597.7,1.67,Active
PROD000044,Generic Clear 969,FITN,Generic,29.78,54.34,9.76,Active
PROD000045,Generic Miły 650,BOOK,Generic,298.98,465.63,13.16,Discontinued
PROD000046,KitchenMaster Miejscowość 517,KITC,KitchenMaster,483.61,1068.63,1.86,Active
PROD000047,Generic Żeński 710,SHOE,Generic,27.64,55.99,13.25,Active
PROD000048,Generic Własny 489,ACCE,Generic,241.92,553.03,9.64,Active
PROD000049,Generic Contain 943,CYCL,Generic,-5.88,-14.45,9.0,Active
PROD000050,Generic Zawsze 460,CAMP,Generic,212.89,325.0,14.57,Active
PROD000051,CompuBrand Zgadzać Się 150,COMP,CompuBrand,385.48,927.27,2.15,Active
PROD000052,Generic I 521,MENS,Generic,233.42,377.94,9.67,Discontinued
PROD000053,Generic Policzek 639,FITN,Generic,259.98,552.92,1.46,Active
PROD000054,Generic Który 186,CYCL,Generic,215.37,437.52,7.09,Active
PROD000055,Generic Speak 312,SHOE,Generic,498.47,933.84,10.13,Active
PROD000056,Generic Morski 702,CAMP,Generic,466.34,710.88,2.78,Active
PROD000057,Generic Accept 439,SHOE,Generic,380.42,692.7,14.1,Discontinued
PROD000058,KitchenMaster Otworzyć 793,KITC,KitchenMaster,104.03,215.11,2.25,Discontinued
PROD000059,Generic Federal 480,FITN,Generic,145.17,322.38,0.35,Active
PROD000059,Generic Last 241,GARD,Generic,477.2,1399.61,6.49,Active
PROD000061,Generic Pogląd 704,WOME,Generic,496.31,1122.12,13.35,Active
PROD000062,Generic Mama 681,MUSI,Generic,424.08,891.5,4.81,Discontinued
PROD000063,Generic Behind 486,CAME,Generic,53.21,96.94,15.99,Active
PROD000064,CookPro Określać 890,KITC,CookPro,337.27,519.82,5.89,Active
PROD000065,Generic Who 118,MENS,Generic,248.4,735.39,2.22,Active
PROD000066,Generic Rzymski 421,MOVI,Generic,495.23,1049.87,3.14,Discontinued
PROD000067,Generic Situation 202,DECO,Generic,263.33,710.38,2.99,Active
PROD000068,Generic Final 157,,Generic,7.07,11.96,4.57,Active
PROD000069,SmartDevice Sok 491,PHON,SmartDevice,373.06,812.31,3.77,Active
,Generic Law 945,SHOE,Generic,134.89,389.1,6.8,Active
PROD000071,Generic Szwecja 826,FITN,Generic,273.42,457.2,4.43,Active
PROD000072,Generic Day 889™ <NEW> [2024],BOOK,Generic,141.33,346.59,16.01,Active
PROD000073,Generic Kraj 585,WOME,Generic,198.5,393.91,6.12,Active
PROD000074,Generic Miejscowość 918,CAME,Generic,-488.66,-1241.74,10.78,Active
PROD000075,Generic Zaraz 350,DECO,Generic,434.81,805.29,6.07,Active
PROD000076,,AUDI,SoundWave,20.63,35.66,18.41,Discontinued
PROD000077,HomeKitchen Rozpocząć 106,KITC,HomeKitchen,194.7,299.21,18.62,Discontinued
PROD000078,Generic Śpiewać 950,BOOK,Generic,55.46,131.45,14.7,Active
PROD000079,Generic Wrócić 411,ACCE,Generic,364.51,770.51,5.86,Active
PROD000080,ChefTools Table 180,KITC,ChefTools,144.05,258.86,10.36,Active
PROD000081,Generic His 419,MUSI,Generic,9.81,29.18,6.37,Active
PROD000082,Generic Address 417™ <NEW> [2024],MOVI,Generic,159.35,248.24,0.13,Active
PROD000083,CallPro Economy 564,PHON,CallPro,54.54,135.85,10.58,Discontinued
PROD000084,Generic Seks 368,DECO,Generic,-405.62,-823.62,6.36,Discontinued
,Generic Kwestia 435,CAME,Generic,332.39,734.11,9.15,Active
PROD000086,CookPro Filozofia 978,KITC,CookPro,496.6,1079.91,12.4,Active
PROD000087,Generic Lekki 103,BOOK,Generic,304.11,560.93,14.19,Active
PROD000088,Generic Before 290,MENS,Generic,408.83,861.32,1.51,Active
PROD000089,CompuBrand Komputer 271,COMP,CompuBrand,216.18,586.63,4.75,Active
PROD000090,,MUSI,Generic,247.01,721.75,13.74,Active
PROD000091,ProComputers Bóg 759,,ProComputers,169.48,357.69,6.51,Active
PROD000092,Generic White 121,ACCE,Generic,35.41,76.53,9.33,Discontinued
PROD000093,Generic Conference 893,MUSI,Generic,319.61,759.33,10.22,Active
PROD000094,Generic Art 765,CAMP,Generic,127.0,344.45,19.77,Active
PROD000095,Generic Znajdować 104,CAMP,Generic,377.98,819.0,13.11,Active
PROD000096,Generic Process 928,MENS,Generic,104.98,313.4,8.94,Active
,ListenUp Ostry 209,AUDI,ListenUp,289.0,762.48,5.63,Active
PROD000097,BeatMaster Pokazywać 393,AUDI,BeatMaster,150.39,438.72,17.0,Active
PROD000099,Generic Third 337,GARD,Generic,120.48,300.35,13.31,Active
PROD000100,Generic Wysoko 265,WOME,Generic,118.26,352.23,15.55,Discontinued
PROD000101,Generic Drop 468,DECO,Generic,-125.68,-188.76,12.38,Active
PROD000102,Generic Mouth 493,MOVI,Generic,315.12,935.88,14.41,Active
PROD000103,Generic Us 341,CYCL,Generic,56.36,122.96,15.29,Active
PROD000104,Generic Daleko 618,CAME,Generic,250.18,646.51,15.88,Active
PROD000105,Generic Worker 978,SHOE,Generic,168.14,418.98,17.33,Active
PROD000106,Generic Drive 779,ACCE,Generic,50.78,129.59,5.54,Active
PROD000107,ConsoleKing Sen 723,GAME,ConsoleKing,198.31,576.26,0.22,Discontinued
PROD000108,ConsoleKing Rano 993,GAME,ConsoleKing,118.35,234.23,2.46,Active
PROD000109,Generic Akt 447,ACCE,Generic,17.13,43.62,18.7,Active
PROD000110,Generic Anyone 409,GARD,Generic,203.32,554.94,0.41,Discontinued
PROD000111,Generic Few 597,WOME,Generic,7.43,20.88,5.09,Active
PROD000111,ConsoleKing Send 507,GAME,ConsoleKing,477.11,1133.03,6.51,Active
PROD000113,SmartDevice Rezultat 124,PHON,SmartDevice,312.46,550.07,0.24,Active
PROD000114,GameStation Skin 185,GAME,GameStation,409.9,875.63,1.5,Discontinued
PROD000115,Generic Feel 906,DECO,Generic,129.93,345.22,2.87,Active
PROD000116,KitchenMaster Already 148,Kitc,KitchenMaster,337.93,788.75,17.09,Active
PROD000117,Generic Majątek 882,ACCE,Generic,341.8,999.82,9.61,Discontinued
PROD000118,Generic Republican 162,DECO,,135.53,256.64,13.56,Active
PROD000119,Generic Bank 743,CAMP,Generic,495.97,1380.84,19.39,Active
PROD000120,AudioPro Dziecięcy 229,AUDI,AudioPro,493.97,1313.05,17.59,Active
PROD000121,,DECO,Generic,364.98,765.16,9.67,Active
PROD000122,KitchenMaster Main 259™ <NEW> [2024],KITC,KitchenMaster,98.84,187.07,12.19,Active
PROD000123,Generic Prosić 740,DECO,Generic,306.7,490.47,8.75,Discontinued
PROD000124,CookPro Japoński 330,,CookPro,391.87,979.53,19.55,Active
PROD000125,Generic Him 750,,Generic,403.5,1092.5,7.67,Active
PROD000126,Generic Telewizja 719,CAMP,Generic,423.63,996.17,18.73,Active
PROD000127,Generic Czechy 364,FITN,Generic,154.14,351.49,16.05,Active
PROD000128,Generic Create 619,FITN,Generic,60.92,180.2,1.58,Active
PROD000129,CookPro Fear 147,KITC,CookPro,215.91,331.74,6.48,Active
PROD000130,BeatMaster Spend 424,AUDI,BeatMaster,352.73,843.29,15.44,Active
PROD000131,FurniPro Sell 643,FURN,FurniPro,242.06,584.48,18.45,Active
PROD000132,Generic Sytuacja 830,CAME,Generic,366.22,1073.68,9.41,Active
PROD000132,FurniPro Obrót 504,FURN,FurniPro,363.8,663.77,10.22,Active
PROD000134,CompuBrand Muzyk 737,COMP,,163.14,405.7,15.41,Discontinued
PROD000135,Generic Alkoholowy 716,MOVI,Generic,416.14,1233.9,15.3,Active
PROD000136,,CAME,Generic,228.46,576.47,9.64,Active
PROD000137,Generic Beautiful 112,ACCE,Generic,113.12,259.22,19.23,Active
PROD000138,Generic Wrócić 206,CAMP,Generic,56.19,115.03,14.63,Active
PROD000139,Generic Po 915,DECO,Generic,12.13,18.98,14.89,Discontinued
PROD000140,Generic Education 743,CAME,Generic,130.11,319.58,10.27,Active
PROD000141,HomeFurniture Capital 140,FURN,HomeFurniture,444.55,1122.23,1.76,Active
PROD000142,HomeKitchen Finish 461,KITC,HomeKitchen,382.44,740.37,3.07,Active
PROD000143,Generic Attorney 165,,Generic,310.51,859.31,10.94,Active
PROD000144,ListenUp Wejście 798,AUDI,ListenUp,359.65,803.85,15.26,Discontinued
PROD000145,Generic Graniczyć 167,ACCE,Generic,82.72,214.83,7.13,Active
PROD000146,TechCorp Read 472,COMP,TechCorp,-443.08,-686.13,13.8,Active
PROD000147,Generic Telefon 539,CAME,Generic,439.17,795.77,0.36,Active
PROD000148,Generic Able 232,CAMP,Generic,124.11,193.29,0.16,Active
PROD000149,Generic Mention 998,GARD,Generic,410.54,784.95,6.68,Discontinued
PROD000150,ConsoleKing Letter 885,GAME,ConsoleKing,288.7,800.89,17.3,Active
PROD000151,Generic Usa 326™ <NEW> [2024],FITN,Generic,66.36,183.18,16.74,Discontinued
PROD000152,Generic Tu 354,MENS,Generic,107.14,160.94,5.64,Active
PROD000153,ProComputers Carry 201,COMP,ProComputers,220.77,418.55,0.19,Discontinued
PROD000154,Generic Ostatni 907,MENS,Generic,368.52,858.09,6.65,Active
PROD000155,Generic Wypadek 406,CYCL,Generic,75.64,220.72,10.36,Active
PROD000156,Generic Say 221,MENS,Generic,182.54,360.84,13.12,Active
PROD000157,Generic Byk 201,FITN,Generic,366.75,975.28,6.66,Active
,Generic Rich 263,WOME,Generic,350.57,892.02,6.56,Active
PROD000159,Generic Available 763,DECO,Generic,225.3,440.74,18.43,Active
PROD000160,Generic Instrument 514,MENS,Generic,91.31,183.51,11.96,Active
PROD000160,GameStation Team 218,GAME,GameStation,457.74,1219.62,10.18,Active
PROD000162,FurniPro Character 556,FURN,FurniPro,353.54,823.13,8.1,Active
PROD000163,Generic Company 644,CAMP,Generic,295.84,873.93,5.17,Active
PROD000164,Generic Quite 823,MUSI,Generic,380.82,840.22,1.44,Discontinued
PROD000165,Generic Exactly 282,MENS,Generic,306.53,870.33,19.15,Active
PROD000166,Generic Koło 710,MENS,Generic,440.24,690.21,11.31,Active
PROD000167,Generic Międzynarodowy 713,CAMP,Generic,305.6,849.23,13.64,Active
PROD000168,Generic Przecież 118,MOVI,Generic,355.78,938.51,8.29,Discontinued
,Generic Size 885,GARD,Generic,434.65,719.83,11.03,Discontinued
PROD000170,Generic Trouble 139,SHOE,Generic,400.01,665.43,13.22,Active
PROD000171,HomeFurniture Dym 895,FURN,HomeFurniture,106.53,220.34,1.31,Discontinued
PROD000172,Generic Wish 569,DECO,Generic,219.15,574.72,13.47,Active
PROD000173,Generic Komputer 107,BOOK,Generic,345.0,993.95,7.87,Active
PROD000174,PlayTech Pacjent 848,,PlayTech,419.37,1009.19,9.38,Discontinued
PROD000175,Generic Usa 149,WOME,Generic,456.62,1271.44,4.3,Active
PROD000176,Generic Luty 948,MUSI,Generic,77.04,157.8,10.3,Discontinued
,Generic Dawny 689,GARD,Generic,236.37,601.57,12.94,Active
PROD000178,Generic Stać 730,CYCL,Generic,293.28,709.03,15.66,Active
PROD000179,Generic Spać 383,GARD,Generic,59.61,175.52,8.12,Discontinued
PROD000180,FurniPro Żywność 238,FURN,FurniPro,195.87,520.38,5.77,Active
PROD000181,Generic Dostać 681,CAMP,Generic,59.02,123.15,5.06,Active
PROD000182,Generic Reakcja 725,BOOK,Generic,260.28,763.19,9.3,Active
PROD000183,Generic Entire 472,MOVI,Generic,255.61,503.89,18.45,Active
PROD000184,Generic 40 487,FITN,Generic,241.09,473.54,19.82,Active
PROD000185,Generic Istotny 158,CYCL,Generic,498.06,1234.31,16.15,Active
PROD000186,Generic Enter 196,CAMP,Generic,440.68,1114.53,6.39,Active
PROD000187,ProComputers Na 620,,ProComputers,269.63,561.33,3.9,Active
PROD000188,Generic Improve 389,BOOK,Generic,11.76,33.59,11.67,Discontinued
PROD000189,Generic Liść 798,CAME,Generic,384.08,995.56,1.83,Active
PROD000190,Generic Wykonywać 422,CAME,Generic,101.81,222.75,13.92,Active
PROD000191,GamerPro Great 738,GAME,GamerPro,227.99,431.75,3.85,Active
PROD000192,ChefTools Significant 593,KITC,ChefTools,246.21,477.16,17.74,Active
PROD000193,Generic Dźwięk 476,SHOE,Generic,175.61,382.34,18.27,Active
PROD000194,CallPro Społeczeństwo 216,PHON,CallPro,-237.78,-382.94,5.38,Discontinued
PROD000195,Generic 3 918,SHOE,Generic,237.7,496.18,2.24,Active
PROD000196,AudioPro 7 589,AUDI,AudioPro,340.12,895.79,16.87,Active
PROD000197,Generic Pas 205,CAMP,Generic,453.53,795.17,18.14,Active
PROD000198,KitchenMaster – 473,KITC,KitchenMaster,196.17,377.61,5.04,Active
,Generic Komputer 478,GARD,Generic,165.3,480.92,2.61,Active
PROD000200,Generic Bank 106,WOME,Generic,252.36,563.0,18.47,Active
PROD000201,Generic Dno 519,CAME,Generic,429.62,767.96,5.33,Active
PROD000202,PhoneMaster Various 632,PHON,PhoneMaster,93.08,243.19,8.07,Active
PROD000203,Generic Wada 676,CAME,Generic,13.6,39.72,3.08,Active
PROD000204,Generic Actually 792,SHOE,Generic,16.57,27.44,8.69,Active
PROD000205,Generic Zdolność 838,CAMP,Generic,38.23,76.89,3.54,Active
PROD000206,Generic Komputer 358,MOVI,,158.12,245.05,17.89,Discontinued
PROD000207,Generic Increase 845,ACCE,Generic,41.57,102.83,15.12,Active
PROD000208,Generic Wiosna 858,MOVI,Generic,300.15,710.45,15.69,Discontinued
PROD000209,GameStation Sprzęt 970,GAME,GameStation,171.9,264.27,3.28,Active
PROD000210,PhoneMaster Ja 672,PHON,PhoneMaster,67.33,115.67,13.08,Active
PROD000211,Generic Agree 564,GARD,Generic,390.8,771.18,9.87,Active
PROD000212,Generic Certain 660,CAMP,Generic,467.1,744.19,3.1,Active
PROD000213,Generic East 181,BOOK,Generic,490.52,858.96,18.04,Active
PROD000214,Generic Model 615,FITN,Generic,291.9,497.99,9.87,Active
PROD000215,Generic Step 938,MOVI,Generic,-347.84,-531.91,8.86,Discontinued
PROD000216,Generic Open 281,GARD,Generic,184.08,336.18,13.93,Discontinued
PROD000217,Generic Move 114,MUSI,Generic,223.55,607.09,8.39,Active
PROD000218,Generic Significant 544,CAMP,Generic,47.77,136.49,19.07,Discontinued
PROD000219,Generic Wielkość 508,,Generic,263.61,709.99,17.88,Active
PROD000220,ListenUp Daughter 363,AUDI,ListenUp,64.17,98.84,4.0,Active
PROD000221,Generic Glass 134,BOOK,Generic,170.67,442.54,10.9,Discontinued
PROD000222,Generic Because 806,DECO,Generic,-420.47,-1035.15,19.99,Discontinued
PROD000223,Generic Grow 751,MOVI,Generic,36.73,80.78,17.96,Active
PROD000224,Generic Game 670,GARD,Generic,343.93,638.79,13.48,Active
PROD000225,Generic Zeszły 186,ACCE,Generic,290.52,473.08,11.17,Active
PROD000226,TechCorp For 582,COMP,TechCorp,5.58,12.68,9.77,Discontinued
PROD000227,Generic Ku 140,SHOE,Generic,242.37,599.45,9.48,Active
PROD000228,Generic Otrzymać 330,MENS,Generic,215.2,499.69,14.67,Active
PROD000229,Generic Podobny 763,CAMP,Generic,456.45,966.96,6.62,Active
PROD000230,PhoneMaster Wszelki 152,PHON,,339.76,535.63,11.15,Active
PROD000231,HomeFurniture Take 481,FURN,HomeFurniture,28.79,58.21,11.35,Active
PROD000232,CookPro Anyone 133,KITC,,45.54,135.92,7.35,Active
PROD000233,Generic Baby 763,CYCL,Generic,233.05,591.77,12.84,Active
PROD000234,Generic These 709,FITN,Generic,434.2,1294.63,5.16,Active
PROD000235,Generic Great 492,SHOE,Generic,333.24,839.99,13.41,Active
PROD000236,Generic Podatek 514,MENS,,145.69,294.85,5.91,Active
PROD000237,Generic Decyzja 292,SHOE,Generic,122.99,357.43,17.38,Active
PROD000238,Generic Słaby 488,ACCE,Generic,269.12,703.83,15.37,Discontinued
PROD000239,Generic Rzeka 451,BOOK,Generic,-250.72,-409.33,12.01,Discontinued
PROD000240,Generic Guy 730,SHOE,Generic,-363.18,-825.99,5.53,Active
PROD000241,Generic Przed 316,BOOK,Generic,478.22,1289.02,3.5,Discontinued
PROD000242,Generic 8 361,SHOE,Generic,136.44,210.15,4.26,Discontinued
PROD000243,ChefTools Experience 248,KITC,ChefTools,487.14,1268.98,2.03,Active
PROD000244,SmartDevice Handel 919™ <NEW> [2024],PHON,SmartDevice,348.03,559.02,13.58,Active
PROD000245,Generic Zarówno 710,MUSI,Generic,115.07,201.25,7.2,Active
PROD000246,PlayTech Że 153,GAME,PlayTech,410.27,894.77,13.05,Active
PROD000247,Generic W Celu 998,MUSI,Generic,380.88,1076.8,13.17,Active
PROD000248,Generic Cost 730,CAME,Generic,484.06,1085.75,0.27,Active
PROD000249,Generic Attorney 942,MENS,Generic,289.35,811.51,18.44,Discontinued
PROD000250,PlayTech Card 165,GAME,PlayTech,427.66,1157.48,19.44,Discontinued
PROD000251,Generic Focus 557,MUSI,Generic,156.0,235.15,11.72,Active
PROD000252,ConsoleKing Back 838,GAME,ConsoleKing,276.08,518.51,19.73,Discontinued
PROD000253,BeatMaster Taki 540,AUDI,BeatMaster,43.87,77.86,10.75,Active
PROD000254,Generic Concern 736,SHOE,Generic,416.93,738.55,17.3,Discontinued
PROD000255,Generic Udział 703,BOOK,Generic,496.61,1135.8,6.68,Discontinued
PROD000256,Generic Capital 562,BOOK,Generic,380.45,1122.22,5.62,Active
PROD000257,Generic Meeting 525™ <NEW> [2024],CAME,Generic,497.39,1430.2,3.72,Active
PROD000258,AudioPro Notice 357,AUDI,AudioPro,191.55,358.93,2.31,Active
PROD000259,Generic Low 906,BOOK,Generic,150.83,362.91,14.4,Discontinued
PROD000260,Generic Ruch 171,FITN,Generic,490.69,1037.51,2.81,Discontinued
PROD000261,KitchenMaster Lista 930,KITC,KitchenMaster,-235.34,-585.02,10.42,Active
PROD000262,KitchenMaster So 487,KITC,KitchenMaster,22.39,57.31,12.75,Discontinued
PROD000263,KitchenMaster Polityk 318,KITC,KitchenMaster,419.31,1232.91,16.19,Active
PROD000264,Generic When 649,CYCL,Generic,209.86,518.99,6.04,Active
PROD000265,Generic Night 292,SHOE,Generic,431.48,1164.87,2.69,Active
,Generic Szacunek 603,MUSI,Generic,274.54,488.41,18.13,Discontinued
PROD000267,Generic Case 455,WOME,Generic,313.18,709.66,7.6,Discontinued
PROD000268,Generic Record 181,WOME,Generic,263.83,407.11,6.84,Active
PROD000269,FurniPro Bit 543,FURN,FurniPro,-294.08,-843.13,7.86,Active
PROD000270,Generic Stany Zjednoczone 279,BOOK,Generic,270.74,767.78,9.04,Active
PROD000271,Generic Położenie 348,CAME,,44.23,80.96,1.91,Active
PROD000272,ComfortLiving The 863,FURN,ComfortLiving,83.87,127.91,18.9,Discontinued
PROD000273,Generic Support 906,MENS,Generic,224.04,629.34,10.95,Discontinued
,Generic Back 290,MUSI,Generic,238.24,546.47,14.48,Discontinued
PROD000275,,BOOK,Generic,282.71,776.53,19.14,Discontinued
PROD000275,ComfortLiving Opowiadać 943,FURN,ComfortLiving,114.82,282.07,9.66,Active
PROD000277,Generic Instytucja 297,FITN,Generic,477.25,808.27,10.04,Discontinued
PROD000278,PhoneMaster Nad 360,PHON,PhoneMaster,168.64,338.88,14.14,Active
PROD000279,MobileTech Forward 894,PHON,MobileTech,233.83,612.21,3.49,Active
PROD000280,Generic Memory 419,CAMP,Generic,356.05,955.28,15.29,Active
PROD000281,Generic Suggest 445,WOME,Generic,148.73,314.69,19.62,Active
PROD000282,Generic Once 400,CAMP,Generic,56.61,120.2,7.26,Active
PROD000283,Generic Power 990,MENS,Generic,324.24,599.61,16.84,Discontinued
PROD000284,Generic Would 723,WOME,Generic,10.03,29.55,10.35,Active
PROD000285,Generic Dialekt 611,GARD,Generic,374.32,677.83,12.51,Active
PROD000286,StyleHome Agent 657,FURN,,303.13,614.86,0.68,Discontinued
PROD000287,Generic Rok 344,FITN,Generic,340.31,644.09,11.7,Active
PROD000288,Generic Wąski 531,GARD,Generic,140.92,314.57,12.76,Active
PROD000289,Generic Lay 187,DECO,Generic,68.74,177.19,17.2,Active
PROD000290,Generic Production 810,BOOK,Generic,63.08,162.87,1.91,Discontinued
PROD000291,Generic Tutaj 353,CAME,Generic,181.15,421.1,6.48,Active
PROD000292,SoundWave Przejście 653,AUDI,SoundWave,338.46,988.29,16.39,Active
PROD000293,Generic Pić 433,GARD,Generic,204.83,313.75,9.87,Discontinued
PROD000294,Generic Temu 426,CAMP,Generic,463.37,949.32,13.23,Discontinued
PROD000295,Generic Kwestia 461,MOVI,Generic,480.55,966.36,12.27,Active
PROD000296,Generic Stop 450,SHOE,Generic,165.48,409.2,2.77,Discontinued
PROD000297,ListenUp Daughter 217,AUDI,ListenUp,153.68,314.56,17.96,Active
PROD000298,Generic Value 806,SHOE,Generic,159.91,417.14,2.95,Active
PROD000299,Generic Skin 893,CAMP,Generic,380.86,796.58,2.02,Active
PROD000300,HomeFurniture Jakby 406,FURN,HomeFurniture,-416.95,-859.5,6.46,Active
PROD000301,Generic Word 908,DECO,Generic,-404.38,-688.76,9.32,Discontinued
PROD000302,Generic Otaczać 407,MUSI,Generic,475.78,848.23,14.5,Active
PROD000303,StyleHome Sort 999,furn,StyleHome,495.69,750.68,4.75,Active
PROD000304,EliteTech Example 192,COMP,EliteTech,92.13,237.22,7.3,Active
PROD000305,StyleHome Zgadzać Się 589,FURN,StyleHome,287.98,683.81,14.18,Active
PROD000306,Generic Anything 190,CYCL,Generic,72.47,207.72,18.09,Active
PROD000307,Generic Tył 188,FITN,Generic,279.08,667.42,4.16,Active
PROD000308,ChefTools Professional 920,KITC,ChefTools,253.66,520.09,4.12,Active
PROD000309,Generic Gęsty 572,FITN,Generic,216.62,460.1,9.92,Active
PROD000310,Generic Lata 886,CAME,Generic,62.67,96.44,12.42,Active
PROD000311,Generic Ten 329,DECO,Generic,24.52,47.45,11.25,Active
PROD000312,Generic Hair 669™ <NEW> [2024],BOOK,Generic,274.79,629.94,13.58,Active
PROD000313,Generic Issue 292,SHOE,Generic,62.92,148.39,10.31,Active
PROD000314,,DECO,Generic,199.31,466.86,8.9,Active
PROD000315,Generic And 600,FITN,,31.65,61.74,1.79,Active
PROD000316,Generic Side 733,DECO,Generic,62.0,140.07,5.88,Discontinued
PROD000317,TechCorp Pogląd 344,COMP,TechCorp,362.48,968.76,15.29,Active
PROD000318,Generic Ptak 706,GARD,Generic,187.1,288.46,1.62,Discontinued
PROD000319,Generic Zakończyć 453,CYCL,Generic,33.73,86.8,7.0,Discontinued
PROD000320,Generic Strój 255,SHOE,Generic,116.92,320.16,2.44,Active
PROD000320,Generic Executive 757,DECO,Generic,254.4,410.92,15.43,Active
PROD000322,Generic Stać 292,CAMP,Generic,381.05,899.28,17.21,Discontinued
PROD000323,Generic Syn 990,FITN,Generic,233.52,355.07,8.11,Active
PROD000324,Generic Jezioro 802,ACCE,Generic,304.28,849.53,19.74,Active
PROD000325,Generic Clearly 129,CAMP,Generic,249.11,651.0,10.51,Active
PROD000326,ProComputers Charge 987™ <NEW> [2024],COMP,ProComputers,456.97,873.51,4.04,Active
PROD000327,Generic Fish 964,MENS,,20.16,53.0,5.93,Active
PROD000328,Generic Rosyjski 738,MUSI,Generic,438.26,769.87,6.77,Discontinued
PROD000329,Generic Piętnaście 290,MOVI,Generic,75.36,209.23,18.28,Active
PROD000330,Generic Też 663,CAME,Generic,473.05,1236.57,6.4,Active
PROD000331,Generic Ogromny 689,DECO,Generic,477.63,1276.51,18.39,Active
PROD000332,ComfortLiving Effort 538,FURN,ComfortLiving,250.33,586.07,11.0,Active
PROD000333,Generic This 248,ACCE,Generic,476.66,1095.29,5.24,Active
PROD000334,Generic Internetowy 472,GARD,Generic,261.85,555.11,10.39,Active
PROD000335,Generic Together 502,GARD,Generic,119.29,316.13,0.87,Active
PROD000336,Generic Pisać 453,CAMP,Generic,445.68,1052.98,8.05,Discontinued
PROD000337,Generic Białoruś 104,SHOE,Generic,-258.87,-431.37,16.01,Active
PROD000338,HomeFurniture Staw 823,FURN,HomeFurniture,159.24,290.02,17.84,Discontinued
PROD000339,Generic Democratic 221,musi,Generic,55.48,115.4,1.61,Active
PROD000340,FurniPro To 866,FURN,FurniPro,375.43,1003.92,6.86,Active
